,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,306,78.90%,82,21.10%,"30,132",78.40%,"8,326",21.60%,"3,210",73.20%,"1,176",26.80%,"3,464",85.40%,590,14.60%,962,76.70%,293,23.30%,"21,130",92.50%,"1,708",7.50%,"2,579",86.60%,399,13.40%,"5,333",84.10%,"1,009",15.90%,"11,491",93.60%,788,6.40%,"9,195",85.00%,"1,628",15.00%,"2,110",87.30%,307,12.70%,"21,294",85.50%,"3,600",14.50%,"2,606",100.00%
Avon and Somerset,9,75.00%,3,25.00%,868,80.40%,211,19.60%,133,77.80%,38,22.20%,111,81.00%,26,19.00%,23,100.00%,0,0.00%,834,94.10%,52,5.90%,44,80.00%,11,20.00%,186,83.40%,37,16.60%,285,94.70%,16,5.30%,289,87.00%,43,13.00%,52,83.90%,10,16.10%,589,87.40%,85,12.60%,82,100.00%
Bedfordshire,2,100.00%,0,0.00%,225,74.80%,76,25.20%,17,73.90%,6,26.10%,24,100.00%,0,0.00%,10,76.90%,3,23.10%,204,88.70%,26,11.30%,17,94.40%,1,5.60%,43,87.80%,6,12.20%,90,97.80%,2,2.20%,52,88.10%,7,11.90%,16,76.20%,5,23.80%,263,76.50%,81,23.50%,54,100.00%
Cambridgeshire,6,100.00%,0,0.00%,349,84.70%,63,15.30%,25,80.60%,6,19.40%,61,92.40%,5,7.60%,12,66.70%,6,33.30%,294,91.90%,26,8.10%,23,95.80%,1,4.20%,64,87.70%,9,12.30%,102,96.20%,4,3.80%,85,85.00%,15,15.00%,27,96.40%,1,3.60%,285,91.60%,26,8.40%,42,100.00%
Cheshire,5,83.30%,1,16.70%,747,81.20%,173,18.80%,65,66.30%,33,33.70%,70,92.10%,6,7.90%,14,77.80%,4,22.20%,492,95.50%,23,4.50%,39,92.90%,3,7.10%,118,85.50%,20,14.50%,226,98.30%,4,1.70%,278,90.00%,31,10.00%,47,92.20%,4,7.80%,574,91.10%,56,8.90%,31,100.00%
Cleveland,4,100.00%,0,0.00%,400,80.00%,100,20.00%,22,75.90%,7,24.10%,96,86.50%,15,13.50%,8,61.50%,5,38.50%,594,94.40%,35,5.60%,52,92.90%,4,7.10%,90,72.60%,34,27.40%,170,92.40%,14,7.60%,154,89.00%,19,11.00%,44,86.30%,7,13.70%,253,90.40%,27,9.60%,18,100.00%
Cumbria,2,100.00%,0,0.00%,284,90.70%,29,9.30%,12,100.00%,0,0.00%,23,88.50%,3,11.50%,5,83.30%,1,16.70%,268,96.40%,10,3.60%,25,100.00%,0,0.00%,69,89.60%,8,10.40%,82,97.60%,2,2.40%,120,89.60%,14,10.40%,24,85.70%,4,14.30%,261,92.60%,21,7.40%,5,100.00%
Derbyshire,2,100.00%,0,0.00%,464,80.30%,114,19.70%,25,96.20%,1,3.80%,45,73.80%,16,26.20%,9,69.20%,4,30.80%,363,92.60%,29,7.40%,24,85.70%,4,14.30%,115,86.50%,18,13.50%,140,94.00%,9,6.00%,165,91.20%,16,8.80%,33,94.30%,2,5.70%,265,85.80%,44,14.20%,31,100.00%
Devon and Cornwall,8,88.90%,1,11.10%,558,82.40%,119,17.60%,40,80.00%,10,20.00%,78,95.10%,4,4.90%,7,87.50%,1,12.50%,355,96.20%,14,3.80%,31,91.20%,3,8.80%,97,86.60%,15,13.40%,206,96.30%,8,3.70%,197,87.90%,27,12.10%,57,86.40%,9,13.60%,548,90.60%,57,9.40%,28,100.00%
Dorset,4,100.00%,0,0.00%,364,87.50%,52,12.50%,25,83.30%,5,16.70%,33,78.60%,9,21.40%,9,100.00%,0,0.00%,222,97.40%,6,2.60%,22,78.60%,6,21.40%,66,93.00%,5,7.00%,106,96.40%,4,3.60%,116,91.30%,11,8.70%,19,95.00%,1,5.00%,255,90.70%,26,9.30%,30,100.00%
