,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,275,78.60%,75,21.40%,"27,070",78.70%,"7,341",21.30%,"2,529",75.10%,839,24.90%,"2,817",87.00%,420,13.00%,962,79.70%,245,20.30%,"16,520",92.60%,"1,314",7.40%,"2,305",85.20%,401,14.80%,"4,903",87.20%,717,12.80%,"10,174",93.30%,726,6.70%,"8,873",86.40%,"1,398",13.60%,"1,927",87.40%,278,12.60%,"21,304",85.40%,"3,631",14.60%,"2,615",100.00%
Avon and Somerset,14,100.00%,0,0.00%,727,78.90%,194,21.10%,96,71.60%,38,28.40%,75,91.50%,7,8.50%,17,81.00%,4,19.00%,367,90.40%,39,9.60%,46,88.50%,6,11.50%,143,79.90%,36,20.10%,183,92.90%,14,7.10%,186,85.70%,31,14.30%,24,72.70%,9,27.30%,562,85.50%,95,14.50%,86,100.00%
Bedfordshire,0,0.00%,3,100.00%,238,82.10%,52,17.90%,12,85.70%,2,14.30%,38,97.40%,1,2.60%,11,100.00%,0,0.00%,148,88.10%,20,11.90%,13,59.10%,9,40.90%,36,85.70%,6,14.30%,83,92.20%,7,7.80%,67,85.90%,11,14.10%,20,71.40%,8,28.60%,260,79.30%,68,20.70%,62,100.00%
Cambridgeshire,2,100.00%,0,0.00%,319,80.20%,79,19.80%,21,80.80%,5,19.20%,39,95.10%,2,4.90%,14,87.50%,2,12.50%,182,94.80%,10,5.20%,26,89.70%,3,10.30%,54,93.10%,4,6.90%,70,86.40%,11,13.60%,110,89.40%,13,10.60%,23,88.50%,3,11.50%,246,88.80%,31,11.20%,78,100.00%
Cheshire,3,100.00%,0,0.00%,730,84.80%,131,15.20%,74,77.10%,22,22.90%,36,85.70%,6,14.30%,5,62.50%,3,37.50%,416,95.90%,18,4.10%,43,95.60%,2,4.40%,105,89.00%,13,11.00%,240,92.70%,19,7.30%,294,92.20%,25,7.80%,28,80.00%,7,20.00%,612,83.50%,121,16.50%,41,100.00%
Cleveland,2,50.00%,2,50.00%,352,80.50%,85,19.50%,23,92.00%,2,8.00%,69,86.30%,11,13.80%,29,87.90%,4,12.10%,624,94.40%,37,5.60%,33,82.50%,7,17.50%,105,86.10%,17,13.90%,169,95.50%,8,4.50%,110,82.70%,23,17.30%,28,96.60%,1,3.40%,283,92.80%,22,7.20%,17,100.00%
Cumbria,4,100.00%,0,0.00%,314,89.00%,39,11.00%,10,76.90%,3,23.10%,29,100.00%,0,0.00%,2,100.00%,0,0.00%,209,95.90%,9,4.10%,13,86.70%,2,13.30%,63,90.00%,7,10.00%,94,94.90%,5,5.10%,102,94.40%,6,5.60%,15,93.80%,1,6.30%,295,93.10%,22,6.90%,10,100.00%
Derbyshire,3,75.00%,1,25.00%,492,81.90%,109,18.10%,33,100.00%,0,0.00%,44,91.70%,4,8.30%,7,87.50%,1,12.50%,350,93.60%,24,6.40%,42,87.50%,6,12.50%,109,87.90%,15,12.10%,134,89.30%,16,10.70%,165,87.30%,24,12.70%,31,91.20%,3,8.80%,388,88.40%,51,11.60%,44,100.00%
Devon and Cornwall,3,60.00%,2,40.00%,541,85.70%,90,14.30%,24,96.00%,1,4.00%,54,96.40%,2,3.60%,27,100.00%,0,0.00%,244,94.90%,13,5.10%,38,95.00%,2,5.00%,97,89.80%,11,10.20%,158,98.80%,2,1.30%,145,86.80%,22,13.20%,19,86.40%,3,13.60%,548,89.70%,63,10.30%,29,100.00%
Dorset,0,0.00%,2,100.00%,391,82.10%,85,17.90%,40,85.10%,7,14.90%,55,94.80%,3,5.20%,8,80.00%,2,20.00%,207,96.70%,7,3.30%,26,89.70%,3,10.30%,67,89.30%,8,10.70%,143,96.00%,6,4.00%,118,92.20%,10,7.80%,30,100.00%,0,0.00%,337,87.30%,49,12.70%,51,100.00%
