,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,282,82.00%,62,18.00%,"33,325",77.40%,"9,743",22.60%,"2,979",73.90%,"1,054",26.10%,"4,174",85.60%,701,14.40%,"1,230",81.00%,288,19.00%,"24,024",91.00%,"2,373",9.00%,"2,806",83.90%,539,16.10%,"6,094",83.90%,"1,172",16.10%,"12,450",93.40%,882,6.60%,"10,362",83.90%,"1,995",16.10%,"2,050",82.90%,422,17.10%,"22,642",84.40%,"4,200",15.60%,"2,581",100.00%
Avon and Somerset,8,80.00%,2,20.00%,862,78.90%,231,21.10%,133,74.30%,46,25.70%,85,88.50%,11,11.50%,14,82.40%,3,17.60%,561,92.30%,47,7.70%,58,80.60%,14,19.40%,144,85.20%,25,14.80%,251,95.40%,12,4.60%,228,83.20%,46,16.80%,22,73.30%,8,26.70%,561,83.40%,112,16.60%,142,100.00%
Bedfordshire,3,100.00%,0,0.00%,208,73.50%,75,26.50%,17,77.30%,5,22.70%,31,79.50%,8,20.50%,14,73.70%,5,26.30%,164,88.60%,21,11.40%,22,88.00%,3,12.00%,36,76.60%,11,23.40%,76,98.70%,1,1.30%,49,80.30%,12,19.70%,13,61.90%,8,38.10%,130,86.10%,21,13.90%,37,100.00%
Cambridgeshire,5,100.00%,0,0.00%,329,77.40%,96,22.60%,19,82.60%,4,17.40%,44,88.00%,6,12.00%,7,77.80%,2,22.20%,213,92.60%,17,7.40%,25,89.30%,3,10.70%,68,86.10%,11,13.90%,100,93.50%,7,6.50%,84,88.40%,11,11.60%,22,81.50%,5,18.50%,285,89.10%,35,10.90%,29,100.00%
Cheshire,6,100.00%,0,0.00%,658,83.20%,133,16.80%,62,72.10%,24,27.90%,59,83.10%,12,16.90%,9,100.00%,0,0.00%,508,94.40%,30,5.60%,38,92.70%,3,7.30%,142,89.30%,17,10.70%,222,94.10%,14,5.90%,252,89.70%,29,10.30%,47,90.40%,5,9.60%,500,88.70%,64,11.30%,19,100.00%
Cleveland,1,100.00%,0,0.00%,384,77.90%,109,22.10%,28,77.80%,8,22.20%,101,82.10%,22,17.90%,18,69.20%,8,30.80%,721,93.20%,53,6.80%,25,86.20%,4,13.80%,126,82.40%,27,17.60%,190,91.30%,18,8.70%,204,80.60%,49,19.40%,17,85.00%,3,15.00%,217,88.90%,27,11.10%,27,100.00%
Cumbria,1,100.00%,0,0.00%,283,84.50%,52,15.50%,17,89.50%,2,10.50%,27,96.40%,1,3.60%,8,100.00%,0,0.00%,204,96.70%,7,3.30%,17,100.00%,0,0.00%,59,95.20%,3,4.80%,100,96.20%,4,3.80%,160,94.10%,10,5.90%,17,89.50%,2,10.50%,266,92.00%,23,8.00%,4,100.00%
Derbyshire,5,71.40%,2,28.60%,650,79.50%,168,20.50%,66,83.50%,13,16.50%,50,82.00%,11,18.00%,16,84.20%,3,15.80%,440,88.20%,59,11.80%,41,85.40%,7,14.60%,123,74.50%,42,25.50%,189,93.60%,13,6.40%,138,78.40%,38,21.60%,33,89.20%,4,10.80%,326,91.60%,30,8.40%,33,100.00%
Devon and Cornwall,9,90.00%,1,10.00%,669,79.50%,173,20.50%,37,84.10%,7,15.90%,93,90.30%,10,9.70%,12,85.70%,2,14.30%,350,93.30%,25,6.70%,49,73.10%,18,26.90%,129,85.40%,22,14.60%,222,96.10%,9,3.90%,204,79.10%,54,20.90%,16,94.10%,1,5.90%,508,89.90%,57,10.10%,35,100.00%
Dorset,3,60.00%,2,40.00%,416,83.70%,81,16.30%,27,71.10%,11,28.90%,56,87.50%,8,12.50%,4,44.40%,5,55.60%,303,92.70%,24,7.30%,15,93.80%,1,6.30%,77,86.50%,12,13.50%,124,97.60%,3,2.40%,145,85.80%,24,14.20%,9,69.20%,4,30.80%,232,91.00%,23,9.00%,46,100.00%
Durham,1,100.00%,0,0.00%,409,76.30%,127,23.70%,21,60.00%,14,40.00%,85,84.20%,16,15.80%,11,100.00%,0,0.00%,364,89.70%,42,10.30%,33,80.50%,8,19.50%,107,85.60%,18,14.40%,82,95.30%,4,4.70%,115,81.60%,26,18.40%,23,82.10%,5,17.90%,287,89.70%,33,10.30%,8,100.00%
Dyfed Powys,3,100.00%,0,0.00%,245,78.50%,67,21.50%,18,64.30%,10,35.70%,26,89.70%,3,10.30%,2,66.70%,1,33.30%,132,88.60%,17,11.40%,16,100.00%,0,0.00%,65,78.30%,18,21.70%,171,92.90%,13,7.10%,90,87.40%,13,12.60%,13,81.30%,3,18.80%,229,81.20%,53,18.80%,13,100.00%
Essex,6,54.50%,5,45.50%,1010,77.20%,298,22.80%,131,75.30%,43,24.70%,114,89.80%,13,10.20%,28,73.70%,10,26.30%,599,89.80%,68,10.20%,61,82.40%,13,17.60%,134,85.90%,22,14.10%,223,91.40%,21,8.60%,169,88.90%,21,11.10%,45,77.60%,13,22.40%,721,74.60%,246,25.40%,69,100.00%
Gloucestershire,0,-,0,-,230,78.80%,62,21.20%,9,100.00%,0,0.00%,42,95.50%,2,4.50%,5,100.00%,0,0.00%,225,95.70%,10,4.30%,21,87.50%,3,12.50%,46,86.80%,7,13.20%,76,96.20%,3,3.80%,53,89.80%,6,10.20%,5,83.30%,1,16.70%,181,92.80%,14,7.20%,21,100.00%
GreaterManchester,7,70.00%,3,30.00%,1960,82.20%,424,17.80%,241,76.50%,74,23.50%,202,91.80%,18,8.20%,91,86.70%,14,13.30%,1000,95.00%,53,5.00%,114,80.90%,27,19.10%,281,87.50%,40,12.50%,445,95.90%,19,4.10%,543,88.00%,74,12.00%,85,87.60%,12,12.40%,1123,84.20%,210,15.80%,105,100.00%
Gwent,0,-,0,-,348,82.70%,73,17.30%,24,57.10%,18,42.90%,44,97.80%,1,2.20%,11,91.70%,1,8.30%,257,92.40%,21,7.60%,17,81.00%,4,19.00%,80,80.00%,20,20.00%,145,96.00%,6,4.00%,111,86.70%,17,13.30%,11,91.70%,1,8.30%,203,90.60%,21,9.40%,16,100.00%
Hampshire,9,90.00%,1,10.00%,852,80.80%,202,19.20%,90,73.80%,32,26.20%,123,86.00%,20,14.00%,32,94.10%,2,5.90%,677,91.70%,61,8.30%,60,92.30%,5,7.70%,161,83.90%,31,16.10%,273,94.80%,15,5.20%,301,91.50%,28,8.50%,45,73.80%,16,26.20%,751,89.40%,89,10.60%,53,100.00%
Hertfordshire,3,100.00%,0,0.00%,435,78.00%,123,22.00%,26,92.90%,2,7.10%,61,81.30%,14,18.70%,9,81.80%,2,18.20%,360,89.10%,44,10.90%,48,82.80%,10,17.20%,68,81.90%,15,18.10%,188,96.40%,7,3.60%,98,78.40%,27,21.60%,18,94.70%,1,5.30%,284,83.50%,56,16.50%,43,100.00%
Humberside,3,100.00%,0,0.00%,495,87.30%,72,12.70%,89,71.80%,35,28.20%,84,93.30%,6,6.70%,15,100.00%,0,0.00%,519,95.10%,27,4.90%,32,91.40%,3,8.60%,131,89.70%,15,10.30%,185,94.40%,11,5.60%,206,88.80%,26,11.20%,16,76.20%,5,23.80%,333,89.50%,39,10.50%,40,100.00%
Kent,10,62.50%,6,37.50%,827,79.30%,216,20.70%,78,78.80%,21,21.20%,123,90.40%,13,9.60%,23,100.00%,0,0.00%,535,83.30%,107,16.70%,106,88.30%,14,11.70%,122,78.70%,33,21.30%,258,92.80%,20,7.20%,182,87.50%,26,12.50%,64,81.00%,15,19.00%,501,86.40%,79,13.60%,102,100.00%
Lancashire,5,62.50%,3,37.50%,889,78.10%,249,21.90%,41,80.40%,10,19.60%,167,86.10%,27,13.90%,59,85.50%,10,14.50%,699,94.20%,43,5.80%,53,89.80%,6,10.20%,190,86.00%,31,14.00%,317,94.90%,17,5.10%,434,88.90%,54,11.10%,60,90.90%,6,9.10%,703,81.10%,164,18.90%,41,100.00%
