,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,193,76.00%,61,24.00%,"31,235",75.70%,"10,042",24.30%,"2,859",71.00%,"1,169",29.00%,"4,065",84.60%,742,15.40%,"1,230",75.60%,396,24.40%,"26,333",91.50%,"2,454",8.50%,"2,351",84.80%,420,15.20%,"7,246",85.50%,"1,225",14.50%,"12,408",93.80%,814,6.20%,"10,978",84.80%,"1,974",15.20%,"5,030",82.50%,"1,065",17.50%,"25,455",84.30%,"4,742",15.70%,"2,759",100.00%
Avon and Somerset,10,100.00%,0,0.00%,897,77.50%,261,22.50%,134,71.70%,53,28.30%,100,90.90%,10,9.10%,32,80.00%,8,20.00%,720,93.30%,52,6.70%,51,91.10%,5,8.90%,237,86.20%,38,13.80%,313,94.80%,17,5.20%,227,85.00%,40,15.00%,180,83.30%,36,16.70%,616,81.90%,136,18.10%,93,100.00%
Bedfordshire,3,100.00%,0,0.00%,253,76.20%,79,23.80%,15,78.90%,4,21.10%,40,88.90%,5,11.10%,15,78.90%,4,21.10%,227,91.90%,20,8.10%,37,90.20%,4,9.80%,73,84.90%,13,15.10%,82,90.10%,9,9.90%,87,87.00%,13,13.00%,21,60.00%,14,40.00%,218,90.10%,24,9.90%,59,100.00%
Cambridgeshire,0,-,0,-,363,83.40%,72,16.60%,23,82.10%,5,17.90%,40,85.10%,7,14.90%,26,81.30%,6,18.80%,197,88.70%,25,11.30%,24,85.70%,4,14.30%,98,89.10%,12,10.90%,120,96.80%,4,3.20%,60,84.50%,11,15.50%,37,74.00%,13,26.00%,278,92.40%,23,7.60%,42,100.00%
Cheshire,1,100.00%,0,0.00%,738,83.10%,150,16.90%,73,77.70%,21,22.30%,75,84.30%,14,15.70%,12,85.70%,2,14.30%,538,95.10%,28,4.90%,35,92.10%,3,7.90%,166,90.20%,18,9.80%,226,95.40%,11,4.60%,252,89.70%,29,10.30%,57,90.50%,6,9.50%,470,86.90%,71,13.10%,24,100.00%
Cleveland,0,0.00%,1,100.00%,334,73.40%,121,26.60%,38,69.10%,17,30.90%,110,86.60%,17,13.40%,29,87.90%,4,12.10%,807,93.70%,54,6.30%,44,88.00%,6,12.00%,145,88.40%,19,11.60%,143,96.60%,5,3.40%,258,83.50%,51,16.50%,46,67.60%,22,32.40%,231,91.70%,21,8.30%,27,100.00%
Cumbria,0,-,0,-,279,85.60%,47,14.40%,21,80.80%,5,19.20%,27,93.10%,2,6.90%,6,100.00%,0,0.00%,255,94.40%,15,5.60%,27,93.10%,2,6.90%,96,93.20%,7,6.80%,127,95.50%,6,4.50%,120,93.80%,8,6.30%,82,95.30%,4,4.70%,238,88.50%,31,11.50%,5,100.00%
Derbyshire,1,100.00%,0,0.00%,615,79.30%,161,20.70%,56,90.30%,6,9.70%,61,91.00%,6,9.00%,26,81.30%,6,18.80%,423,86.30%,67,13.70%,29,78.40%,8,21.60%,128,79.50%,33,20.50%,190,95.00%,10,5.00%,205,88.40%,27,11.60%,64,80.00%,16,20.00%,363,89.00%,45,11.00%,44,100.00%
Devon and Cornwall,1,33.30%,2,66.70%,525,75.80%,168,24.20%,35,85.40%,6,14.60%,92,92.00%,8,8.00%,13,65.00%,7,35.00%,424,93.80%,28,6.20%,51,83.60%,10,16.40%,166,86.90%,25,13.10%,221,94.00%,14,6.00%,168,80.00%,42,20.00%,234,79.30%,61,20.70%,632,91.30%,60,8.70%,50,100.00%
Dorset,1,100.00%,0,0.00%,433,81.10%,101,18.90%,28,68.30%,13,31.70%,30,81.10%,7,18.90%,4,80.00%,1,20.00%,345,94.50%,20,5.50%,22,95.70%,1,4.30%,80,82.50%,17,17.50%,114,95.00%,6,5.00%,120,86.30%,19,13.70%,27,81.80%,6,18.20%,287,87.20%,42,12.80%,44,100.00%
