,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,237,80.10%,59,19.90%,"31,457",77.30%,"9,252",22.70%,"3,290",74.40%,"1,133",25.60%,"3,510",85.40%,599,14.60%,"1,091",79.30%,284,20.70%,"21,350",91.60%,"1,959",8.40%,"2,680",85.30%,463,14.70%,"5,781",84.40%,"1,066",15.60%,"12,093",93.70%,811,6.30%,"10,151",85.10%,"1,772",14.90%,"2,175",85.30%,376,14.70%,"21,683",84.80%,"3,874",15.20%,"2,423",100.00%
Avon and Somerset,5,45.50%,6,54.50%,893,81.30%,206,18.70%,150,77.30%,44,22.70%,113,91.10%,11,8.90%,17,94.40%,1,5.60%,553,91.60%,51,8.40%,47,92.20%,4,7.80%,169,88.00%,23,12.00%,267,94.00%,17,6.00%,246,86.90%,37,13.10%,31,79.50%,8,20.50%,565,85.90%,93,14.10%,92,100.00%
Bedfordshire,6,75.00%,2,25.00%,249,78.80%,67,21.20%,24,88.90%,3,11.10%,45,90.00%,5,10.00%,20,83.30%,4,16.70%,156,88.60%,20,11.40%,12,85.70%,2,14.30%,44,84.60%,8,15.40%,97,94.20%,6,5.80%,68,89.50%,8,10.50%,18,72.00%,7,28.00%,245,81.90%,54,18.10%,33,100.00%
Cambridgeshire,1,50.00%,1,50.00%,407,82.60%,86,17.40%,26,78.80%,7,21.20%,30,85.70%,5,14.30%,8,57.10%,6,42.90%,276,92.00%,24,8.00%,23,88.50%,3,11.50%,71,85.50%,12,14.50%,98,96.10%,4,3.90%,98,81.00%,23,19.00%,19,79.20%,5,20.80%,228,89.10%,28,10.90%,34,100.00%
Cheshire,4,100.00%,0,0.00%,811,82.10%,177,17.90%,62,69.70%,27,30.30%,49,87.50%,7,12.50%,6,75.00%,2,25.00%,492,94.80%,27,5.20%,46,95.80%,2,4.20%,130,89.70%,15,10.30%,250,95.80%,11,4.20%,291,89.00%,36,11.00%,43,91.50%,4,8.50%,593,91.10%,58,8.90%,18,100.00%
Cleveland,1,100.00%,0,0.00%,395,76.00%,125,24.00%,29,93.50%,2,6.50%,122,88.40%,16,11.60%,12,63.20%,7,36.80%,586,93.80%,39,6.20%,25,100.00%,0,0.00%,116,78.40%,32,21.60%,224,92.90%,17,7.10%,155,85.20%,27,14.80%,33,73.30%,12,26.70%,238,91.90%,21,8.10%,23,100.00%
Cumbria,2,100.00%,0,0.00%,299,84.50%,55,15.50%,20,87.00%,3,13.00%,28,90.30%,3,9.70%,1,100.00%,0,0.00%,246,93.90%,16,6.10%,20,90.90%,2,9.10%,72,81.80%,16,18.20%,116,97.50%,3,2.50%,106,90.60%,11,9.40%,13,92.90%,1,7.10%,236,92.50%,19,7.50%,7,100.00%
Derbyshire,4,100.00%,0,0.00%,494,79.90%,124,20.10%,17,100.00%,0,0.00%,39,75.00%,13,25.00%,22,88.00%,3,12.00%,355,91.50%,33,8.50%,25,83.30%,5,16.70%,99,82.50%,21,17.50%,146,90.70%,15,9.30%,167,87.00%,25,13.00%,44,86.30%,7,13.70%,327,80.30%,80,19.70%,53,100.00%
Devon and Cornwall,2,40.00%,3,60.00%,648,81.90%,143,18.10%,57,91.90%,5,8.10%,65,85.50%,11,14.50%,20,95.20%,1,4.80%,317,95.50%,15,4.50%,51,82.30%,11,17.70%,115,92.70%,9,7.30%,181,95.80%,8,4.20%,175,86.60%,27,13.40%,20,90.90%,2,9.10%,563,89.80%,64,10.20%,25,100.00%
Dorset,5,100.00%,0,0.00%,420,85.50%,71,14.50%,38,82.60%,8,17.40%,36,80.00%,9,20.00%,4,66.70%,2,33.30%,252,96.60%,9,3.40%,18,90.00%,2,10.00%,85,87.60%,12,12.40%,134,99.30%,1,0.70%,143,89.90%,16,10.10%,22,95.70%,1,4.30%,269,89.70%,31,10.30%,34,100.00%
