,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,280,80.50%,68,19.50%,"28,269",79.20%,"7,446",20.80%,"2,722",75.50%,885,24.50%,"3,128",87.00%,468,13.00%,"1,076",81.00%,252,19.00%,"18,008",92.40%,"1,474",7.60%,"2,505",87.30%,366,12.70%,"4,992",85.90%,821,14.10%,"10,502",93.30%,752,6.70%,"8,737",86.20%,"1,397",13.80%,"2,214",89.10%,272,10.90%,"22,033",85.90%,"3,613",14.10%,"2,808",100.00%
Avon and Somerset,7,87.50%,1,12.50%,788,81.50%,179,18.50%,117,78.50%,32,21.50%,65,84.40%,12,15.60%,25,73.50%,9,26.50%,375,90.80%,38,9.20%,45,95.70%,2,4.30%,148,84.10%,28,15.90%,236,91.80%,21,8.20%,272,87.20%,40,12.80%,26,89.70%,3,10.30%,617,88.60%,79,11.40%,80,100.00%
Bedfordshire,0,0.00%,1,100.00%,230,74.20%,80,25.80%,22,88.00%,3,12.00%,27,96.40%,1,3.60%,18,85.70%,3,14.30%,183,90.10%,20,9.90%,25,89.30%,3,10.70%,43,89.60%,5,10.40%,110,97.30%,3,2.70%,65,90.30%,7,9.70%,20,90.90%,2,9.10%,313,79.80%,79,20.20%,46,100.00%
Cambridgeshire,8,100.00%,0,0.00%,376,77.80%,107,22.20%,23,88.50%,3,11.50%,34,87.20%,5,12.80%,12,92.30%,1,7.70%,232,92.80%,18,7.20%,33,86.80%,5,13.20%,54,87.10%,8,12.90%,81,95.30%,4,4.70%,64,77.10%,19,22.90%,10,66.70%,5,33.30%,307,89.80%,35,10.20%,38,100.00%
Cheshire,4,100.00%,0,0.00%,725,84.30%,135,15.70%,72,81.80%,16,18.20%,64,98.50%,1,1.50%,13,81.30%,3,18.80%,424,94.00%,27,6.00%,58,90.60%,6,9.40%,103,85.80%,17,14.20%,275,93.90%,18,6.10%,324,94.50%,19,5.50%,45,97.80%,1,2.20%,692,88.00%,94,12.00%,59,100.00%
Cleveland,1,100.00%,0,0.00%,292,77.20%,86,22.80%,20,83.30%,4,16.70%,94,88.70%,12,11.30%,26,78.80%,7,21.20%,715,97.00%,22,3.00%,37,97.40%,1,2.60%,90,87.40%,13,12.60%,161,93.10%,12,6.90%,139,85.30%,24,14.70%,17,89.50%,2,10.50%,224,89.20%,27,10.80%,21,100.00%
Cumbria,3,100.00%,0,0.00%,335,89.10%,41,10.90%,15,100.00%,0,0.00%,30,83.30%,6,16.70%,2,100.00%,0,0.00%,244,96.40%,9,3.60%,29,93.50%,2,6.50%,50,89.30%,6,10.70%,84,96.60%,3,3.40%,125,96.20%,5,3.80%,14,93.30%,1,6.70%,254,90.70%,26,9.30%,15,100.00%
Derbyshire,4,100.00%,0,0.00%,534,79.60%,137,20.40%,24,77.40%,7,22.60%,43,81.10%,10,18.90%,9,52.90%,8,47.10%,432,92.70%,34,7.30%,52,89.70%,6,10.30%,101,81.50%,23,18.50%,111,91.00%,11,9.00%,184,88.00%,25,12.00%,40,93.00%,3,7.00%,411,87.40%,59,12.60%,49,100.00%
Devon and Cornwall,3,100.00%,0,0.00%,601,87.70%,84,12.30%,27,90.00%,3,10.00%,63,96.90%,2,3.10%,14,87.50%,2,12.50%,253,94.80%,14,5.20%,34,82.90%,7,17.10%,120,93.00%,9,7.00%,184,95.80%,8,4.20%,189,93.10%,14,6.90%,26,96.30%,1,3.70%,546,91.50%,51,8.50%,21,100.00%
Dorset,5,100.00%,0,0.00%,374,85.20%,65,14.80%,39,79.60%,10,20.40%,41,89.10%,5,10.90%,5,83.30%,1,16.70%,191,95.00%,10,5.00%,34,100.00%,0,0.00%,69,90.80%,7,9.20%,124,97.60%,3,2.40%,93,83.80%,18,16.20%,28,93.30%,2,6.70%,380,91.60%,35,8.40%,56,100.00%
Durham,2,100.00%,0,0.00%,342,83.60%,67,16.40%,10,83.30%,2,16.70%,53,88.30%,7,11.70%,8,80.00%,2,20.00%,283,93.70%,19,6.30%,28,84.80%,5,15.20%,81,83.50%,16,16.50%,30,93.80%,2,6.30%,78,88.60%,10,11.40%,14,70.00%,6,30.00%,250,96.20%,10,3.80%,24,100.00%
Dyfed Powys,0,-,0,-,225,88.60%,29,11.40%,19,70.40%,8,29.60%,12,100.00%,0,0.00%,1,100.00%,0,0.00%,126,97.70%,3,2.30%,7,100.00%,0,0.00%,65,91.50%,6,8.50%,163,95.30%,8,4.70%,65,87.80%,9,12.20%,4,80.00%,1,20.00%,217,88.60%,28,11.40%,9,100.00%
Essex,9,100.00%,0,0.00%,740,78.40%,204,21.60%,85,75.20%,28,24.80%,91,94.80%,5,5.20%,28,84.80%,5,15.20%,417,93.50%,29,6.50%,70,89.70%,8,10.30%,98,85.20%,17,14.80%,232,91.70%,21,8.30%,144,80.90%,34,19.10%,33,80.50%,8,19.50%,665,78.00%,188,22.00%,68,100.00%
Gloucestershire,3,100.00%,0,0.00%,249,81.40%,57,18.60%,13,92.90%,1,7.10%,21,84.00%,4,16.00%,2,66.70%,1,33.30%,145,90.10%,16,9.90%,24,96.00%,1,4.00%,40,90.90%,4,9.10%,74,90.20%,8,9.80%,40,83.30%,8,16.70%,8,100.00%,0,0.00%,196,90.30%,21,9.70%,21,100.00%
GreaterManchester,16,80.00%,4,20.00%,1332,85.20%,232,14.80%,209,74.10%,73,25.90%,132,86.80%,20,13.20%,71,92.20%,6,7.80%,410,94.30%,25,5.70%,88,89.80%,10,10.20%,221,92.90%,17,7.10%,277,91.70%,25,8.30%,381,89.00%,47,11.00%,95,93.10%,7,6.90%,892,83.80%,173,16.20%,70,100.00%
Gwent,1,100.00%,0,0.00%,237,79.50%,61,20.50%,25,75.80%,8,24.20%,21,75.00%,7,25.00%,7,77.80%,2,22.20%,178,92.70%,14,7.30%,17,94.40%,1,5.60%,58,80.60%,14,19.40%,92,92.00%,8,8.00%,86,85.10%,15,14.90%,16,88.90%,2,11.10%,258,87.20%,38,12.80%,22,100.00%
Hampshire,8,88.90%,1,11.10%,909,82.80%,189,17.20%,82,87.20%,12,12.80%,76,90.50%,8,9.50%,16,94.10%,1,5.90%,628,95.00%,33,5.00%,61,85.90%,10,14.10%,131,86.80%,20,13.20%,231,95.50%,11,4.50%,201,89.30%,24,10.70%,40,87.00%,6,13.00%,626,89.40%,74,10.60%,63,100.00%
Hertfordshire,0,-,0,-,466,81.80%,104,18.20%,18,90.00%,2,10.00%,54,85.70%,9,14.30%,19,82.60%,4,17.40%,385,91.70%,35,8.30%,66,86.80%,10,13.20%,66,79.50%,17,20.50%,238,94.40%,14,5.60%,113,83.10%,23,16.90%,34,100.00%,0,0.00%,384,79.80%,97,20.20%,44,100.00%
Humberside,5,100.00%,0,0.00%,482,85.50%,82,14.50%,17,77.30%,5,22.70%,87,88.80%,11,11.20%,14,82.40%,3,17.60%,392,92.20%,33,7.80%,41,97.60%,1,2.40%,119,90.80%,12,9.20%,119,96.70%,4,3.30%,131,89.10%,16,10.90%,31,93.90%,2,6.10%,270,90.90%,27,9.10%,30,100.00%
Kent,17,70.80%,7,29.20%,856,79.70%,218,20.30%,71,76.30%,22,23.70%,73,78.50%,20,21.50%,23,88.50%,3,11.50%,439,92.20%,37,7.80%,82,85.40%,14,14.60%,142,84.50%,26,15.50%,259,92.80%,20,7.20%,178,85.60%,30,14.40%,82,81.20%,19,18.80%,579,88.90%,72,11.10%,71,100.00%
Lancashire,9,75.00%,3,25.00%,827,81.40%,189,18.60%,32,94.10%,2,5.90%,132,90.40%,14,9.60%,58,79.50%,15,20.50%,640,91.70%,58,8.30%,61,89.70%,7,10.30%,157,90.20%,17,9.80%,190,92.70%,15,7.30%,340,89.70%,39,10.30%,58,92.10%,5,7.90%,692,86.90%,104,13.10%,35,100.00%
Leicestershire,9,81.80%,2,18.20%,520,80.20%,128,19.80%,68,72.30%,26,27.70%,60,92.30%,5,7.70%,23,85.20%,4,14.80%,333,93.30%,24,6.70%,57,95.00%,3,5.00%,89,82.40%,19,17.60%,102,87.90%,14,12.10%,135,87.70%,19,12.30%,34,85.00%,6,15.00%,381,81.40%,87,18.60%,53,100.00%
Lincolnshire,3,100.00%,0,0.00%,378,84.80%,68,15.20%,17,89.50%,2,10.50%,46,90.20%,5,9.80%,4,66.70%,2,33.30%,299,94.60%,17,5.40%,26,86.70%,4,13.30%,65,84.40%,12,15.60%,104,96.30%,4,3.70%,124,86.70%,19,13.30%,43,87.80%,6,12.20%,422,82.30%,91,17.70%,69,100.00%
Merseyside,12,85.70%,2,14.30%,843,81.20%,195,18.80%,63,74.10%,22,25.90%,67,93.10%,5,6.90%,23,88.50%,3,11.50%,508,96.00%,21,4.00%,75,82.40%,16,17.60%,176,90.70%,18,9.30%,547,95.00%,29,5.00%,223,86.80%,34,13.20%,38,82.60%,8,17.40%,753,86.80%,115,13.20%,62,100.00%
Metropolitan and City,51,73.90%,18,26.10%,3914,70.10%,1672,29.90%,355,66.70%,177,33.30%,485,83.00%,99,17.00%,241,78.80%,65,21.20%,2128,85.30%,366,14.70%,548,83.90%,105,16.10%,583,80.10%,145,19.90%,2574,91.50%,238,8.50%,1172,75.40%,382,24.60%,578,90.00%,64,10.00%,2941,76.70%,894,23.30%,670,100.00%
Norfolk,4,80.00%,1,20.00%,491,83.10%,100,16.90%,30,83.30%,6,16.70%,32,88.90%,4,11.10%,13,100.00%,0,0.00%,291,93.60%,20,6.40%,26,96.30%,1,3.70%,116,86.60%,18,13.40%,158,96.30%,6,3.70%,216,90.40%,23,9.60%,25,78.10%,7,21.90%,401,90.90%,40,9.10%,15,100.00%
Northamptonshire,2,100.00%,0,0.00%,372,77.30%,109,22.70%,14,100.00%,0,0.00%,37,78.70%,10,21.30%,10,90.90%,1,9.10%,158,90.30%,17,9.70%,25,80.60%,6,19.40%,56,88.90%,7,11.10%,86,86.00%,14,14.00%,89,85.60%,15,14.40%,27,96.40%,1,3.60%,263,90.10%,29,9.90%,96,100.00%
Northumbria,2,50.00%,2,50.00%,811,76.20%,254,23.80%,109,76.80%,33,23.20%,128,81.00%,30,19.00%,10,100.00%,0,0.00%,750,91.80%,67,8.20%,63,81.80%,14,18.20%,192,77.70%,55,22.30%,201,91.80%,18,8.20%,397,85.70%,66,14.30%,48,84.20%,9,15.80%,567,88.20%,76,11.80%,34,100.00%
North Wales,2,50.00%,2,50.00%,481,82.40%,103,17.60%,50,83.30%,10,16.70%,46,82.10%,10,17.90%,11,68.80%,5,31.30%,271,96.10%,11,3.90%,29,87.90%,4,12.10%,94,87.00%,14,13.00%,105,98.10%,2,1.90%,164,94.30%,10,5.70%,24,85.70%,4,14.30%,394,89.30%,47,10.70%,12,100.00%
North Yorkshire,1,100.00%,0,0.00%,334,81.30%,77,18.70%,12,92.30%,1,7.70%,38,90.50%,4,9.50%,14,100.00%,0,0.00%,258,91.50%,24,8.50%,25,92.60%,2,7.40%,69,89.60%,8,10.40%,94,90.40%,10,9.60%,122,88.40%,16,11.60%,23,88.50%,3,11.50%,291,89.00%,36,11.00%,21,100.00%
Nottinghamshire,7,77.80%,2,22.20%,675,81.00%,158,19.00%,113,76.90%,34,23.10%,64,90.10%,7,9.90%,29,93.50%,2,6.50%,542,92.50%,44,7.50%,47,87.00%,7,13.00%,127,84.10%,24,15.90%,341,90.50%,36,9.50%,215,85.00%,38,15.00%,60,92.30%,5,7.70%,425,89.50%,50,10.50%,96,100.00%
South Wales,6,100.00%,0,0.00%,980,77.20%,289,22.80%,71,63.40%,41,36.60%,91,85.00%,16,15.00%,14,73.70%,5,26.30%,609,94.90%,33,5.10%,99,86.80%,15,13.20%,187,87.80%,26,12.20%,465,95.70%,21,4.30%,342,87.50%,49,12.50%,67,89.30%,8,10.70%,645,85.80%,107,14.20%,45,100.00%
South Yorkshire,4,57.10%,3,42.90%,548,75.50%,178,24.50%,36,90.00%,4,10.00%,106,89.10%,13,10.90%,23,60.50%,15,39.50%,423,95.10%,22,4.90%,44,89.80%,5,10.20%,132,85.20%,23,14.80%,197,95.60%,9,4.40%,218,87.60%,31,12.40%,50,89.30%,6,10.70%,356,87.70%,50,12.30%,56,100.00%
Staffordshire,3,100.00%,0,0.00%,495,77.00%,148,23.00%,51,67.10%,25,32.90%,56,83.60%,11,16.40%,11,68.80%,5,31.30%,357,93.50%,25,6.50%,34,87.20%,5,12.80%,102,85.70%,17,14.30%,189,95.50%,9,4.50%,162,90.00%,18,10.00%,67,93.10%,5,6.90%,424,89.30%,51,10.70%,71,100.00%
Suffolk,3,100.00%,0,0.00%,315,84.50%,58,15.50%,15,93.80%,1,6.30%,15,78.90%,4,21.10%,9,100.00%,0,0.00%,163,96.40%,6,3.60%,13,86.70%,2,13.30%,47,90.40%,5,9.60%,133,95.00%,7,5.00%,102,93.60%,7,6.40%,20,80.00%,5,20.00%,267,90.50%,28,9.50%,27,100.00%
Surrey,0,0.00%,1,100.00%,391,79.50%,101,20.50%,49,79.00%,13,21.00%,41,97.60%,1,2.40%,3,100.00%,0,0.00%,153,87.90%,21,12.10%,31,91.20%,3,8.80%,48,92.30%,4,7.70%,118,92.90%,9,7.10%,64,85.30%,11,14.70%,36,90.00%,4,10.00%,383,90.80%,39,9.20%,35,100.00%
Sussex,0,0.00%,1,100.00%,675,80.00%,169,20.00%,82,71.90%,32,28.10%,47,90.40%,5,9.60%,15,71.40%,6,28.60%,287,92.90%,22,7.10%,50,100.00%,0,0.00%,81,86.20%,13,13.80%,190,94.10%,12,5.90%,126,88.10%,17,11.90%,38,92.70%,3,7.30%,535,88.90%,67,11.10%,38,100.00%
Thames Valley,12,92.30%,1,7.70%,847,78.10%,238,21.90%,128,74.90%,43,25.10%,93,85.30%,16,14.70%,25,67.60%,12,32.40%,557,93.10%,41,6.90%,84,86.60%,13,13.40%,160,87.00%,24,13.00%,325,95.30%,16,4.70%,269,87.10%,40,12.90%,59,93.70%,4,6.30%,897,91.40%,84,8.60%,75,100.00%
Warwickshire,4,100.00%,0,0.00%,200,79.40%,52,20.60%,24,58.50%,17,41.50%,27,90.00%,3,10.00%,10,71.40%,4,28.60%,148,91.40%,14,8.60%,18,81.80%,4,18.20%,20,80.00%,5,20.00%,55,93.20%,4,6.80%,40,78.40%,11,21.60%,11,84.60%,2,15.40%,220,84.30%,41,15.70%,30,100.00%
West Mercia,4,57.10%,3,42.90%,558,82.10%,122,17.90%,51,68.90%,23,31.10%,39,84.80%,7,15.20%,20,83.30%,4,16.70%,354,93.70%,24,6.30%,42,84.00%,8,16.00%,102,83.60%,20,16.40%,148,91.90%,13,8.10%,159,92.40%,13,7.60%,30,83.30%,6,16.70%,581,89.10%,71,10.90%,57,100.00%
