,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,302,81.20%,70,18.80%,"29,551",79.00%,"7,853",21.00%,"3,056",75.10%,"1,013",24.90%,"3,376",87.10%,499,12.90%,"1,047",82.00%,230,18.00%,"19,794",92.30%,"1,648",7.70%,"2,621",87.90%,361,12.10%,"5,242",87.30%,760,12.70%,"11,005",93.60%,749,6.40%,"9,417",86.80%,"1,433",13.20%,"2,263",86.60%,349,13.40%,"20,980",85.80%,"3,471",14.20%,"2,419",100.00%
Avon and Somerset,5,100.00%,0,0.00%,788,79.60%,202,20.40%,135,75.40%,44,24.60%,94,87.00%,14,13.00%,24,92.30%,2,7.70%,499,90.40%,53,9.60%,53,94.60%,3,5.40%,134,88.70%,17,11.30%,270,94.10%,17,5.90%,237,87.80%,33,12.20%,38,90.50%,4,9.50%,537,87.50%,77,12.50%,73,100.00%
Bedfordshire,3,75.00%,1,25.00%,248,78.20%,69,21.80%,10,66.70%,5,33.30%,31,70.50%,13,29.50%,11,84.60%,2,15.40%,171,83.40%,34,16.60%,24,88.90%,3,11.10%,45,77.60%,13,22.40%,89,95.70%,4,4.30%,56,80.00%,14,20.00%,16,84.20%,3,15.80%,243,85.00%,43,15.00%,77,100.00%
Cambridgeshire,3,100.00%,0,0.00%,377,84.00%,72,16.00%,24,96.00%,1,4.00%,43,93.50%,3,6.50%,8,66.70%,4,33.30%,223,92.10%,19,7.90%,28,93.30%,2,6.70%,62,93.90%,4,6.10%,90,94.70%,5,5.30%,94,88.70%,12,11.30%,18,85.70%,3,14.30%,200,96.60%,7,3.40%,50,100.00%
Cheshire,2,100.00%,0,0.00%,752,82.10%,164,17.90%,57,64.00%,32,36.00%,54,90.00%,6,10.00%,11,68.80%,5,31.30%,461,92.20%,39,7.80%,33,94.30%,2,5.70%,108,87.80%,15,12.20%,250,96.20%,10,3.80%,302,91.80%,27,8.20%,46,97.90%,1,2.10%,548,89.70%,63,10.30%,34,100.00%
Cleveland,3,100.00%,0,0.00%,374,76.80%,113,23.20%,20,87.00%,3,13.00%,98,84.50%,18,15.50%,15,78.90%,4,21.10%,636,93.40%,45,6.60%,50,94.30%,3,5.70%,95,87.20%,14,12.80%,181,94.80%,10,5.20%,166,88.30%,22,11.70%,40,85.10%,7,14.90%,203,86.80%,31,13.20%,35,100.00%
Cumbria,2,100.00%,0,0.00%,271,85.50%,46,14.50%,9,81.80%,2,18.20%,10,62.50%,6,37.50%,5,83.30%,1,16.70%,254,95.10%,13,4.90%,15,93.80%,1,6.30%,56,91.80%,5,8.20%,76,97.40%,2,2.60%,94,91.30%,9,8.70%,19,90.50%,2,9.50%,247,87.90%,34,12.10%,14,100.00%
Derbyshire,4,66.70%,2,33.30%,476,81.40%,109,18.60%,23,88.50%,3,11.50%,46,95.80%,2,4.20%,17,94.40%,1,5.60%,402,91.40%,38,8.60%,48,90.60%,5,9.40%,82,85.40%,14,14.60%,153,88.40%,20,11.60%,109,89.30%,13,10.70%,37,90.20%,4,9.80%,338,87.30%,49,12.70%,26,100.00%
Devon and Cornwall,5,100.00%,0,0.00%,600,87.30%,87,12.70%,36,97.30%,1,2.70%,47,88.70%,6,11.30%,19,86.40%,3,13.60%,297,94.00%,19,6.00%,34,77.30%,10,22.70%,82,89.10%,10,10.90%,195,97.00%,6,3.00%,178,91.30%,17,8.70%,31,96.90%,1,3.10%,503,87.90%,69,12.10%,27,100.00%
Dorset,3,100.00%,0,0.00%,398,86.90%,60,13.10%,43,79.60%,11,20.40%,31,88.60%,4,11.40%,13,86.70%,2,13.30%,235,94.00%,15,6.00%,32,97.00%,1,3.00%,64,94.10%,4,5.90%,122,99.20%,1,0.80%,113,93.40%,8,6.60%,17,89.50%,2,10.50%,273,88.30%,36,11.70%,31,100.00%
