,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,297,80.10%,74,19.90%,"27,880",78.90%,"7,450",21.10%,"2,863",74.30%,992,25.70%,"3,228",88.40%,422,11.60%,955,78.70%,259,21.30%,"17,992",92.50%,"1,465",7.50%,"2,496",87.00%,372,13.00%,"4,815",85.60%,813,14.40%,"10,168",93.80%,676,6.20%,"8,751",86.40%,"1,376",13.60%,"2,176",86.90%,328,13.10%,"20,493",85.80%,"3,388",14.20%,"2,669",100.00%
Avon and Somerset,6,85.70%,1,14.30%,771,81.70%,173,18.30%,138,75.00%,46,25.00%,77,87.50%,11,12.50%,25,86.20%,4,13.80%,416,93.90%,27,6.10%,65,86.70%,10,13.30%,153,85.50%,26,14.50%,265,95.00%,14,5.00%,218,85.50%,37,14.50%,44,88.00%,6,12.00%,518,91.00%,51,9.00%,105,100.00%
Bedfordshire,2,100.00%,0,0.00%,243,71.70%,96,28.30%,17,100.00%,0,0.00%,39,90.70%,4,9.30%,13,81.30%,3,18.80%,170,83.70%,33,16.30%,24,82.80%,5,17.20%,52,82.50%,11,17.50%,83,95.40%,4,4.60%,65,73.90%,23,26.10%,16,84.20%,3,15.80%,235,77.60%,68,22.40%,50,100.00%
Cambridgeshire,4,80.00%,1,20.00%,367,81.20%,85,18.80%,29,87.90%,4,12.10%,48,90.60%,5,9.40%,20,69.00%,9,31.00%,209,95.00%,11,5.00%,34,94.40%,2,5.60%,66,86.80%,10,13.20%,70,93.30%,5,6.70%,70,84.30%,13,15.70%,9,75.00%,3,25.00%,229,91.20%,22,8.80%,29,100.00%
Cheshire,2,66.70%,1,33.30%,703,81.20%,163,18.80%,63,70.80%,26,29.20%,48,85.70%,8,14.30%,17,89.50%,2,10.50%,469,94.70%,26,5.30%,48,82.80%,10,17.20%,103,91.20%,10,8.80%,231,95.90%,10,4.10%,289,91.70%,26,8.30%,49,90.70%,5,9.30%,677,86.60%,105,13.40%,38,100.00%
Cleveland,4,100.00%,0,0.00%,332,76.10%,104,23.90%,24,92.30%,2,7.70%,101,87.10%,15,12.90%,15,75.00%,5,25.00%,609,96.10%,25,3.90%,33,86.80%,5,13.20%,89,88.10%,12,11.90%,154,94.50%,9,5.50%,145,85.30%,25,14.70%,29,96.70%,1,3.30%,213,88.00%,29,12.00%,22,100.00%
Cumbria,2,100.00%,0,0.00%,326,88.30%,43,11.70%,12,92.30%,1,7.70%,13,72.20%,5,27.80%,1,50.00%,1,50.00%,204,97.60%,5,2.40%,14,82.40%,3,17.60%,54,85.70%,9,14.30%,85,98.80%,1,1.20%,113,95.00%,6,5.00%,14,82.40%,3,17.60%,228,90.50%,24,9.50%,4,100.00%
Derbyshire,3,100.00%,0,0.00%,487,78.00%,137,22.00%,24,92.30%,2,7.70%,44,86.30%,7,13.70%,16,94.10%,1,5.90%,374,89.90%,42,10.10%,41,93.20%,3,6.80%,98,83.10%,20,16.90%,143,96.00%,6,4.00%,140,86.40%,22,13.60%,50,74.60%,17,25.40%,337,84.00%,64,16.00%,32,100.00%
Devon and Cornwall,8,80.00%,2,20.00%,559,85.20%,97,14.80%,32,94.10%,2,5.90%,69,97.20%,2,2.80%,16,84.20%,3,15.80%,306,94.20%,19,5.80%,28,93.30%,2,6.70%,110,92.40%,9,7.60%,153,95.00%,8,5.00%,170,87.20%,25,12.80%,21,80.80%,5,19.20%,545,88.30%,72,11.70%,29,100.00%
Dorset,2,66.70%,1,33.30%,392,88.90%,49,11.10%,25,69.40%,11,30.60%,35,89.70%,4,10.30%,7,77.80%,2,22.20%,234,95.10%,12,4.90%,35,92.10%,3,7.90%,57,83.80%,11,16.20%,122,96.10%,5,3.90%,116,87.90%,16,12.10%,31,88.60%,4,11.40%,367,90.80%,37,9.20%,46,100.00%
Durham,6,85.70%,1,14.30%,304,83.10%,62,16.90%,12,85.70%,2,14.30%,50,80.60%,12,19.40%,6,75.00%,2,25.00%,297,93.10%,22,6.90%,23,95.80%,1,4.20%,54,78.30%,15,21.70%,34,89.50%,4,10.50%,81,80.20%,20,19.80%,17,94.40%,1,5.60%,234,94.40%,14,5.60%,17,100.00%
Dyfed Powys,1,100.00%,0,0.00%,193,80.40%,47,19.60%,29,82.90%,6,17.10%,16,88.90%,2,11.10%,0,0.00%,1,100.00%,99,90.00%,11,10.00%,6,75.00%,2,25.00%,47,90.40%,5,9.60%,77,96.30%,3,3.80%,58,87.90%,8,12.10%,8,80.00%,2,20.00%,197,90.80%,20,9.20%,15,100.00%
Essex,9,81.80%,2,18.20%,664,78.00%,187,22.00%,102,67.10%,50,32.90%,95,94.10%,6,5.90%,16,88.90%,2,11.10%,346,94.00%,22,6.00%,58,79.50%,15,20.50%,124,86.70%,19,13.30%,233,94.00%,15,6.00%,145,87.90%,20,12.10%,29,78.40%,8,21.60%,608,81.40%,139,18.60%,66,100.00%
Gloucestershire,3,100.00%,0,0.00%,197,80.40%,48,19.60%,14,100.00%,0,0.00%,30,85.70%,5,14.30%,3,75.00%,1,25.00%,154,95.10%,8,4.90%,16,84.20%,3,15.80%,41,85.40%,7,14.60%,89,93.70%,6,6.30%,47,94.00%,3,6.00%,10,83.30%,2,16.70%,154,91.10%,15,8.90%,24,100.00%
GreaterManchester,26,92.90%,2,7.10%,1326,79.90%,334,20.10%,199,72.90%,74,27.10%,164,96.50%,6,3.50%,54,88.50%,7,11.50%,434,92.50%,35,7.50%,51,78.50%,14,21.50%,231,90.90%,23,9.10%,250,95.10%,13,4.90%,405,91.60%,37,8.40%,87,85.30%,15,14.70%,771,85.80%,128,14.20%,94,100.00%
Gwent,3,60.00%,2,40.00%,250,81.20%,58,18.80%,18,66.70%,9,33.30%,37,84.10%,7,15.90%,9,81.80%,2,18.20%,191,91.80%,17,8.20%,15,88.20%,2,11.80%,47,71.20%,19,28.80%,92,90.20%,10,9.80%,60,82.20%,13,17.80%,18,85.70%,3,14.30%,244,87.50%,35,12.50%,7,100.00%
Hampshire,6,100.00%,0,0.00%,834,82.60%,176,17.40%,86,86.00%,14,14.00%,83,89.20%,10,10.80%,20,95.20%,1,4.80%,628,94.60%,36,5.40%,79,88.80%,10,11.20%,123,89.80%,14,10.20%,209,93.70%,14,6.30%,217,87.10%,32,12.90%,45,86.50%,7,13.50%,606,91.10%,59,8.90%,67,100.00%
Hertfordshire,7,77.80%,2,22.20%,441,80.60%,106,19.40%,21,87.50%,3,12.50%,44,83.00%,9,17.00%,29,80.60%,7,19.40%,392,92.90%,30,7.10%,70,95.90%,3,4.10%,71,84.50%,13,15.50%,187,92.10%,16,7.90%,108,85.00%,19,15.00%,25,86.20%,4,13.80%,367,83.80%,71,16.20%,50,100.00%
