,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,268,83.20%,54,16.80%,"29,859",78.90%,"7,980",21.10%,"3,044",74.60%,"1,038",25.40%,"3,421",86.30%,541,13.70%,"1,094",80.90%,259,19.10%,"18,189",91.70%,"1,640",8.30%,"2,543",86.30%,403,13.70%,"5,302",87.90%,733,12.10%,"10,411",93.20%,760,6.80%,"9,557",85.70%,"1,598",14.30%,"2,195",86.40%,346,13.60%,"20,777",84.90%,"3,691",15.10%,"2,767",100.00%
Avon and Somerset,8,72.70%,3,27.30%,790,78.60%,215,21.40%,159,75.70%,51,24.30%,97,86.60%,15,13.40%,17,77.30%,5,22.70%,440,94.00%,28,6.00%,74,92.50%,6,7.50%,147,88.60%,19,11.40%,203,93.50%,14,6.50%,232,88.50%,30,11.50%,43,82.70%,9,17.30%,528,87.00%,79,13.00%,88,100.00%
Bedfordshire,0,-,0,-,283,81.60%,64,18.40%,15,83.30%,3,16.70%,36,85.70%,6,14.30%,21,91.30%,2,8.70%,186,91.60%,17,8.40%,26,92.90%,2,7.10%,37,86.00%,6,14.00%,68,91.90%,6,8.10%,53,79.10%,14,20.90%,16,94.10%,1,5.90%,269,77.10%,80,22.90%,59,100.00%
Cambridgeshire,5,83.30%,1,16.70%,305,81.10%,71,18.90%,36,94.70%,2,5.30%,35,89.70%,4,10.30%,6,66.70%,3,33.30%,196,94.20%,12,5.80%,32,100.00%,0,0.00%,62,95.40%,3,4.60%,76,91.60%,7,8.40%,78,82.10%,17,17.90%,21,72.40%,8,27.60%,249,89.60%,29,10.40%,58,100.00%
Cheshire,5,83.30%,1,16.70%,775,80.10%,192,19.90%,61,70.10%,26,29.90%,58,90.60%,6,9.40%,15,83.30%,3,16.70%,365,92.90%,28,7.10%,42,93.30%,3,6.70%,111,91.00%,11,9.00%,256,97.00%,8,3.00%,360,90.90%,36,9.10%,31,93.90%,2,6.10%,607,85.50%,103,14.50%,41,100.00%
Cleveland,1,50.00%,1,50.00%,360,76.30%,112,23.70%,29,90.60%,3,9.40%,73,81.10%,17,18.90%,15,83.30%,3,16.70%,550,93.90%,36,6.10%,33,84.60%,6,15.40%,92,84.40%,17,15.60%,162,92.00%,14,8.00%,144,84.70%,26,15.30%,29,87.90%,4,12.10%,200,87.00%,30,13.00%,17,100.00%
Cumbria,2,100.00%,0,0.00%,282,87.30%,41,12.70%,7,70.00%,3,30.00%,20,83.30%,4,16.70%,8,88.90%,1,11.10%,205,94.50%,12,5.50%,14,93.30%,1,6.70%,59,98.30%,1,1.70%,77,96.30%,3,3.80%,88,95.70%,4,4.30%,15,93.80%,1,6.30%,248,91.90%,22,8.10%,4,100.00%
Derbyshire,2,100.00%,0,0.00%,503,83.70%,98,16.30%,34,89.50%,4,10.50%,59,92.20%,5,7.80%,16,100.00%,0,0.00%,375,91.00%,37,9.00%,39,95.10%,2,4.90%,114,91.20%,11,8.80%,149,91.40%,14,8.60%,156,87.60%,22,12.40%,29,82.90%,6,17.10%,305,87.90%,42,12.10%,33,100.00%
Devon and Cornwall,9,100.00%,0,0.00%,590,84.60%,107,15.40%,28,77.80%,8,22.20%,66,93.00%,5,7.00%,13,92.90%,1,7.10%,312,95.10%,16,4.90%,30,78.90%,8,21.10%,113,94.20%,7,5.80%,172,97.70%,4,2.30%,211,91.30%,20,8.70%,26,86.70%,4,13.30%,496,90.30%,53,9.70%,39,100.00%
Dorset,2,66.70%,1,33.30%,397,83.60%,78,16.40%,35,87.50%,5,12.50%,33,89.20%,4,10.80%,9,60.00%,6,40.00%,194,94.20%,12,5.80%,19,76.00%,6,24.00%,77,90.60%,8,9.40%,104,98.10%,2,1.90%,158,87.80%,22,12.20%,28,96.60%,1,3.40%,290,86.80%,44,13.20%,50,100.00%
Durham,0,-,0,-,353,84.20%,66,15.80%,14,87.50%,2,12.50%,52,86.70%,8,13.30%,5,62.50%,3,37.50%,328,92.40%,27,7.60%,20,87.00%,3,13.00%,72,82.80%,15,17.20%,46,93.90%,3,6.10%,93,89.40%,11,10.60%,14,82.40%,3,17.60%,262,93.20%,19,6.80%,28,100.00%
Dyfed Powys,2,66.70%,1,33.30%,202,81.50%,46,18.50%,10,47.60%,11,52.40%,15,88.20%,2,11.80%,1,100.00%,0,0.00%,134,95.70%,6,4.30%,5,71.40%,2,28.60%,49,92.50%,4,7.50%,100,94.30%,6,5.70%,62,86.10%,10,13.90%,13,92.90%,1,7.10%,201,90.10%,22,9.90%,22,100.00%
Essex,9,81.80%,2,18.20%,743,80.10%,185,19.90%,119,74.40%,41,25.60%,84,84.80%,15,15.20%,23,79.30%,6,20.70%,353,93.10%,26,6.90%,58,85.30%,10,14.70%,126,85.70%,21,14.30%,193,95.10%,10,4.90%,157,87.70%,22,12.30%,39,86.70%,6,13.30%,567,77.40%,166,22.60%,65,100.00%
Gloucestershire,5,83.30%,1,16.70%,231,84.90%,41,15.10%,7,70.00%,3,30.00%,37,84.10%,7,15.90%,5,100.00%,0,0.00%,151,93.80%,10,6.20%,15,83.30%,3,16.70%,43,95.60%,2,4.40%,74,100.00%,0,0.00%,51,83.60%,10,16.40%,7,77.80%,2,22.20%,172,92.00%,15,8.00%,23,100.00%
GreaterManchester,19,90.50%,2,9.50%,1488,81.80%,332,18.20%,215,68.50%,99,31.50%,160,88.90%,20,11.10%,102,86.40%,16,13.60%,494,94.10%,31,5.90%,68,84.00%,13,16.00%,244,87.80%,34,12.20%,283,89.30%,34,10.70%,473,89.20%,57,10.80%,101,88.60%,13,11.40%,931,88.00%,127,12.00%,105,100.00%
Gwent,3,100.00%,0,0.00%,275,82.10%,60,17.90%,23,74.20%,8,25.80%,41,91.10%,4,8.90%,5,45.50%,6,54.50%,267,94.00%,17,6.00%,18,94.70%,1,5.30%,59,80.80%,14,19.20%,131,97.00%,4,3.00%,104,88.90%,13,11.10%,24,92.30%,2,7.70%,202,84.50%,37,15.50%,22,100.00%
Hampshire,2,66.70%,1,33.30%,882,82.60%,186,17.40%,93,79.50%,24,20.50%,85,86.70%,13,13.30%,24,92.30%,2,7.70%,519,93.30%,37,6.70%,57,90.50%,6,9.50%,141,87.00%,21,13.00%,175,96.20%,7,3.80%,192,87.30%,28,12.70%,41,82.00%,9,18.00%,567,89.90%,64,10.10%,69,100.00%
Hertfordshire,4,80.00%,1,20.00%,499,77.60%,144,22.40%,29,87.90%,4,12.10%,65,89.00%,8,11.00%,13,72.20%,5,27.80%,456,94.80%,25,5.20%,69,83.10%,14,16.90%,83,87.40%,12,12.60%,173,94.50%,10,5.50%,129,84.30%,24,15.70%,29,76.30%,9,23.70%,372,81.20%,86,18.80%,51,100.00%
Humberside,1,100.00%,0,0.00%,496,82.70%,104,17.30%,37,74.00%,13,26.00%,57,82.60%,12,17.40%,22,78.60%,6,21.40%,377,92.90%,29,7.10%,31,81.60%,7,18.40%,116,89.90%,13,10.10%,153,87.90%,21,12.10%,160,87.40%,23,12.60%,24,85.70%,4,14.30%,252,85.70%,42,14.30%,63,100.00%
Kent,9,90.00%,1,10.00%,917,80.30%,225,19.70%,74,74.70%,25,25.30%,99,91.70%,9,8.30%,26,81.30%,6,18.80%,405,89.80%,46,10.20%,97,86.60%,15,13.40%,181,87.00%,27,13.00%,229,94.20%,14,5.80%,171,84.70%,31,15.30%,75,87.20%,11,12.80%,471,89.70%,54,10.30%,93,100.00%
