,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,368,83.40%,73,16.60%,"32,811",78.30%,"9,069",21.70%,"3,297",72.60%,"1,242",27.40%,"3,623",84.30%,674,15.70%,"1,131",81.20%,262,18.80%,"23,967",92.00%,"2,079",8.00%,"2,929",86.50%,459,13.50%,"5,899",84.80%,"1,057",15.20%,"12,556",93.90%,820,6.10%,"10,366",84.40%,"1,909",15.60%,"2,332",86.00%,381,14.00%,"22,698",84.70%,"4,113",15.30%,"2,230",100.00%
Avon and Somerset,7,77.80%,2,22.20%,830,80.70%,199,19.30%,146,74.10%,51,25.90%,89,91.80%,8,8.20%,26,83.90%,5,16.10%,628,92.60%,50,7.40%,70,88.60%,9,11.40%,171,84.20%,32,15.80%,279,93.60%,19,6.40%,204,85.40%,35,14.60%,30,90.90%,3,9.10%,559,88.70%,71,11.30%,60,100.00%
Bedfordshire,5,100.00%,0,0.00%,271,78.80%,73,21.20%,22,75.90%,7,24.10%,27,87.10%,4,12.90%,22,95.70%,1,4.30%,204,93.20%,15,6.80%,22,81.50%,5,18.50%,47,81.00%,11,19.00%,90,92.80%,7,7.20%,69,84.10%,13,15.90%,15,88.20%,2,11.80%,272,76.80%,82,23.20%,31,100.00%
Cambridgeshire,3,100.00%,0,0.00%,412,78.60%,112,21.40%,44,84.60%,8,15.40%,34,94.40%,2,5.60%,18,90.00%,2,10.00%,290,93.90%,19,6.10%,26,86.70%,4,13.30%,80,78.40%,22,21.60%,93,96.90%,3,3.10%,96,86.50%,15,13.50%,37,82.20%,8,17.80%,287,90.80%,29,9.20%,45,100.00%
Cheshire,4,80.00%,1,20.00%,792,83.80%,153,16.20%,72,80.00%,18,20.00%,65,92.90%,5,7.10%,18,72.00%,7,28.00%,498,95.20%,25,4.80%,54,100.00%,0,0.00%,111,86.70%,17,13.30%,290,96.70%,10,3.30%,294,88.30%,39,11.70%,36,92.30%,3,7.70%,523,88.80%,66,11.20%,34,100.00%
Cleveland,8,100.00%,0,0.00%,374,78.60%,102,21.40%,19,90.50%,2,9.50%,94,87.90%,13,12.10%,35,85.40%,6,14.60%,669,93.70%,45,6.30%,29,78.40%,8,21.60%,92,82.90%,19,17.10%,167,87.00%,25,13.00%,149,81.90%,33,18.10%,24,96.00%,1,4.00%,233,88.30%,31,11.70%,22,100.00%
Cumbria,0,-,0,-,344,85.40%,59,14.60%,16,100.00%,0,0.00%,31,86.10%,5,13.90%,6,100.00%,0,0.00%,261,93.90%,17,6.10%,17,85.00%,3,15.00%,81,92.00%,7,8.00%,113,95.80%,5,4.20%,135,91.80%,12,8.20%,29,96.70%,1,3.30%,240,89.60%,28,10.40%,7,100.00%
Derbyshire,2,100.00%,0,0.00%,646,83.20%,130,16.80%,14,100.00%,0,0.00%,40,80.00%,10,20.00%,26,74.30%,9,25.70%,435,85.60%,73,14.40%,42,77.80%,12,22.20%,158,85.90%,26,14.10%,179,94.20%,11,5.80%,197,88.30%,26,11.70%,62,88.60%,8,11.40%,370,84.90%,66,15.10%,41,100.00%
Devon and Cornwall,16,94.10%,1,5.90%,700,81.70%,157,18.30%,59,88.10%,8,11.90%,62,86.10%,10,13.90%,13,65.00%,7,35.00%,308,93.30%,22,6.70%,51,86.40%,8,13.60%,109,90.80%,11,9.20%,195,96.10%,8,3.90%,174,85.70%,29,14.30%,19,73.10%,7,26.90%,599,85.70%,100,14.30%,47,100.00%
Dorset,3,75.00%,1,25.00%,423,87.40%,61,12.60%,24,82.80%,5,17.20%,36,87.80%,5,12.20%,2,50.00%,2,50.00%,298,95.50%,14,4.50%,24,80.00%,6,20.00%,75,96.20%,3,3.80%,150,97.40%,4,2.60%,127,90.10%,14,9.90%,23,92.00%,2,8.00%,267,91.10%,26,8.90%,35,100.00%
