,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful
National,278,80.60%,67,19.40%,"34,981",77.90%,"9,928",22.10%,"3,098",73.40%,"1,124",26.60%,"4,179",85.40%,717,14.60%,"1,274",79.40%,331,20.60%,"25,346",91.60%,"2,323",8.40%,"3,109",86.60%,483,13.40%,"6,169",84.50%,"1,132",15.50%,"13,154",93.60%,906,6.40%,"10,619",84.10%,"2,014",15.90%,"2,233",85.20%,388,14.80%,"23,117",84.30%,"4,292",15.70%,"2,339",100.00%
Avon and Somerset,16,88.90%,2,11.10%,949,77.30%,278,22.70%,154,73.70%,55,26.30%,114,82.60%,24,17.40%,24,88.90%,3,11.10%,621,90.50%,65,9.50%,64,75.30%,21,24.70%,174,85.30%,30,14.70%,286,92.30%,24,7.70%,173,77.60%,50,22.40%,34,85.00%,6,15.00%,569,77.00%,170,23.00%,209,100.00%
Bedfordshire,1,100.00%,0,0.00%,391,78.40%,108,21.60%,27,77.10%,8,22.90%,55,91.70%,5,8.30%,17,56.70%,13,43.30%,308,94.80%,17,5.20%,19,79.20%,5,20.80%,82,89.10%,10,10.90%,101,94.40%,6,5.60%,87,80.60%,21,19.40%,11,78.60%,3,21.40%,288,84.70%,52,15.30%,28,100.00%
Cambridgeshire,7,77.80%,2,22.20%,425,83.80%,82,16.20%,25,80.60%,6,19.40%,57,86.40%,9,13.60%,15,75.00%,5,25.00%,248,94.30%,15,5.70%,25,89.30%,3,10.70%,52,85.20%,9,14.80%,106,99.10%,1,0.90%,94,90.40%,10,9.60%,13,86.70%,2,13.30%,273,87.50%,39,12.50%,29,100.00%
Cheshire,3,75.00%,1,25.00%,754,84.30%,140,15.70%,59,70.20%,25,29.80%,88,89.80%,10,10.20%,11,68.80%,5,31.30%,462,95.50%,22,4.50%,43,95.60%,2,4.40%,112,89.60%,13,10.40%,291,96.70%,10,3.30%,332,94.10%,21,5.90%,37,92.50%,3,7.50%,517,92.50%,42,7.50%,19,100.00%
Cleveland,3,100.00%,0,0.00%,423,78.20%,118,21.80%,25,89.30%,3,10.70%,110,87.30%,16,12.70%,18,85.70%,3,14.30%,777,93.30%,56,6.70%,26,92.90%,2,7.10%,103,79.80%,26,20.20%,198,90.80%,20,9.20%,179,84.80%,32,15.20%,26,96.30%,1,3.70%,254,89.10%,31,10.90%,17,100.00%
Cumbria,5,83.30%,1,16.70%,305,83.80%,59,16.20%,9,90.00%,1,10.00%,23,95.80%,1,4.20%,9,90.00%,1,10.00%,275,95.50%,13,4.50%,19,86.40%,3,13.60%,63,88.70%,8,11.30%,112,92.60%,9,7.40%,146,93.60%,10,6.40%,5,41.70%,7,58.30%,255,93.10%,19,6.90%,6,100.00%
Derbyshire,5,71.40%,2,28.60%,662,77.30%,194,22.70%,22,100.00%,0,0.00%,70,81.40%,16,18.60%,30,90.90%,3,9.10%,457,88.90%,57,11.10%,48,82.80%,10,17.20%,149,77.60%,43,22.40%,204,89.90%,23,10.10%,162,78.60%,44,21.40%,45,91.80%,4,8.20%,337,87.80%,47,12.20%,35,100.00%
Devon and Cornwall,6,100.00%,0,0.00%,733,74.30%,253,25.70%,44,83.00%,9,17.00%,80,86.00%,13,14.00%,13,100.00%,0,0.00%,368,91.50%,34,8.50%,42,76.40%,13,23.60%,115,85.20%,20,14.80%,241,94.90%,13,5.10%,244,85.60%,41,14.40%,26,81.30%,6,18.80%,597,89.50%,70,10.50%,48,100.00%
Dorset,3,100.00%,0,0.00%,423,82.50%,90,17.50%,35,76.10%,11,23.90%,46,93.90%,3,6.10%,4,80.00%,1,20.00%,280,96.60%,10,3.40%,24,100.00%,0,0.00%,69,93.20%,5,6.80%,125,94.70%,7,5.30%,137,92.60%,11,7.40%,28,87.50%,4,12.50%,257,92.80%,20,7.20%,24,100.00%
