Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Kent,16,80.00%,4,20.00%,854,77.80%,243,22.20%,71,83.50%,14,16.50%,70,86.40%,11,13.60%,11,68.80%,5,31.30%,424,92.80%,33,7.20%,91,92.90%,7,7.10%,151,88.30%,20,11.70%,213,95.10%,11,4.90%,181,85.80%,30,14.20%,71,89.90%,8,10.10%,519,89.00%,64,11.00%,112,100.00%,
Lancashire,7,63.60%,4,36.40%,788,77.60%,227,22.40%,42,89.40%,5,10.60%,100,84.70%,18,15.30%,27,84.40%,5,15.60%,605,93.80%,40,6.20%,48,77.40%,14,22.60%,175,85.00%,31,15.00%,186,93.50%,13,6.50%,341,89.70%,39,10.30%,41,83.70%,8,16.30%,608,85.80%,101,14.20%,40,100.00%,
Leicestershire,6,100.00%,0,0.00%,510,82.80%,106,17.20%,68,68.00%,32,32.00%,54,91.50%,5,8.50%,15,71.40%,6,28.60%,274,92.60%,22,7.40%,35,89.70%,4,10.30%,109,87.20%,16,12.80%,85,93.40%,6,6.60%,171,89.10%,21,10.90%,24,88.90%,3,11.10%,372,74.10%,130,25.90%,36,100.00%,
Lincolnshire,2,66.70%,1,33.30%,351,82.60%,74,17.40%,15,88.20%,2,11.80%,43,91.50%,4,8.50%,4,100.00%,0,0.00%,254,93.00%,19,7.00%,28,82.40%,6,17.60%,74,91.40%,7,8.60%,97,91.50%,9,8.50%,115,89.80%,13,10.20%,28,96.60%,1,3.40%,380,80.90%,90,19.10%,32,100.00%,
Merseyside,10,100.00%,0,0.00%,831,81.60%,187,18.40%,72,79.10%,19,20.90%,61,93.80%,4,6.20%,20,83.30%,4,16.70%,509,94.60%,29,5.40%,42,89.40%,5,10.60%,170,90.90%,17,9.10%,621,95.40%,30,4.60%,326,90.30%,35,9.70%,39,76.50%,12,23.50%,808,90.40%,86,9.60%,52,100.00%,
Metropolitan and City,51,65.40%,27,34.60%,3577,70.40%,1501,29.60%,344,67.30%,167,32.70%,452,83.20%,91,16.80%,236,76.60%,72,23.40%,1743,85.00%,308,15.00%,511,81.20%,118,18.80%,547,82.80%,114,17.20%,2490,91.60%,227,8.40%,1205,77.80%,343,22.20%,429,87.90%,59,12.10%,2856,77.00%,852,23.00%,571,100.00%,
Norfolk,0,-,0,-,474,87.90%,65,12.10%,27,84.40%,5,15.60%,37,94.90%,2,5.10%,8,53.30%,7,46.70%,276,96.50%,10,3.50%,40,93.00%,3,7.00%,91,87.50%,13,12.50%,192,99.50%,1,0.50%,257,92.40%,21,7.60%,32,88.90%,4,11.10%,395,92.90%,30,7.10%,37,100.00%,
Northamptonshire,6,66.70%,3,33.30%,310,76.90%,93,23.10%,14,93.30%,1,6.70%,32,76.20%,10,23.80%,12,92.30%,1,7.70%,145,89.50%,17,10.50%,23,92.00%,2,8.00%,63,88.70%,8,11.30%,90,87.40%,13,12.60%,74,89.20%,9,10.80%,25,92.60%,2,7.40%,263,91.60%,24,8.40%,32,100.00%,
Northumbria,7,87.50%,1,12.50%,824,72.80%,308,27.20%,114,72.60%,43,27.40%,134,83.80%,26,16.30%,21,80.80%,5,19.20%,653,91.80%,58,8.20%,71,87.70%,10,12.30%,194,85.10%,34,14.90%,178,94.70%,10,5.30%,384,79.50%,99,20.50%,38,92.70%,3,7.30%,516,86.90%,78,13.10%,34,100.00%,
North Wales,5,100.00%,0,0.00%,433,83.90%,83,16.10%,35,83.30%,7,16.70%,31,86.10%,5,13.90%,8,100.00%,0,0.00%,227,93.80%,15,6.20%,30,88.20%,4,11.80%,92,89.30%,11,10.70%,98,89.90%,11,10.10%,166,92.20%,14,7.80%,21,91.30%,2,8.70%,361,91.90%,32,8.10%,11,100.00%,
North Yorkshire,1,100.00%,0,0.00%,345,82.30%,74,17.70%,12,92.30%,1,7.70%,35,74.50%,12,25.50%,3,33.30%,6,66.70%,270,92.20%,23,7.80%,31,86.10%,5,13.90%,68,88.30%,9,11.70%,91,86.70%,14,13.30%,142,88.80%,18,11.30%,31,81.60%,7,18.40%,360,91.80%,32,8.20%,26,100.00%,
Nottinghamshire,3,100.00%,0,0.00%,578,80.10%,144,19.90%,97,72.90%,36,27.10%,48,77.40%,14,22.60%,25,92.60%,2,7.40%,415,94.30%,25,5.70%,38,77.60%,11,22.40%,124,92.50%,10,7.50%,320,92.50%,26,7.50%,239,91.20%,23,8.80%,53,91.40%,5,8.60%,404,91.00%,40,9.00%,53,100.00%,
South Wales,11,100.00%,0,0.00%,884,74.40%,304,25.60%,73,70.90%,30,29.10%,71,72.40%,27,27.60%,16,69.60%,7,30.40%,545,93.30%,39,6.70%,97,88.20%,13,11.80%,185,88.10%,25,11.90%,443,94.70%,25,5.30%,331,87.30%,48,12.70%,65,91.50%,6,8.50%,656,81.90%,145,18.10%,33,100.00%,
South Yorkshire,5,55.60%,4,44.40%,635,79.50%,164,20.50%,18,75.00%,6,25.00%,81,86.20%,13,13.80%,37,84.10%,7,15.90%,424,93.00%,32,7.00%,35,92.10%,3,7.90%,140,83.80%,27,16.20%,173,92.50%,14,7.50%,210,90.50%,22,9.50%,39,92.90%,3,7.10%,403,86.90%,61,13.10%,47,100.00%,
Staffordshire,3,100.00%,0,0.00%,487,78.20%,136,21.80%,60,85.70%,10,14.30%,52,83.90%,10,16.10%,14,82.40%,3,17.60%,406,95.30%,20,4.70%,32,80.00%,8,20.00%,118,90.10%,13,9.90%,156,96.30%,6,3.70%,156,88.10%,21,11.90%,39,84.80%,7,15.20%,429,86.00%,70,14.00%,41,100.00%,
Suffolk,4,80.00%,1,20.00%,287,84.40%,53,15.60%,12,80.00%,3,20.00%,13,86.70%,2,13.30%,14,87.50%,2,12.50%,129,96.30%,5,3.70%,24,92.30%,2,7.70%,59,93.70%,4,6.30%,122,98.40%,2,1.60%,85,91.40%,8,8.60%,14,100.00%,0,0.00%,277,93.00%,21,7.00%,14,100.00%,
Surrey,1,100.00%,0,0.00%,386,77.70%,111,22.30%,47,77.00%,14,23.00%,34,82.90%,7,17.10%,6,85.70%,1,14.30%,111,91.00%,11,9.00%,46,86.80%,7,13.20%,33,84.60%,6,15.40%,100,94.30%,6,5.70%,62,87.30%,9,12.70%,34,94.40%,2,5.60%,337,92.80%,26,7.20%,54,100.00%,
Sussex,2,66.70%,1,33.30%,651,81.40%,149,18.60%,66,76.70%,20,23.30%,46,86.80%,7,13.20%,15,93.80%,1,6.30%,230,94.30%,14,5.70%,44,91.70%,4,8.30%,72,90.00%,8,10.00%,202,94.80%,11,5.20%,138,90.80%,14,9.20%,30,85.70%,5,14.30%,493,86.80%,75,13.20%,42,100.00%,
Thames Valley,11,100.00%,0,0.00%,776,79.30%,203,20.70%,94,75.20%,31,24.80%,72,90.00%,8,10.00%,23,79.30%,6,20.70%,483,94.00%,31,6.00%,55,82.10%,12,17.90%,111,89.50%,13,10.50%,290,92.70%,23,7.30%,236,86.80%,36,13.20%,52,96.30%,2,3.70%,757,87.90%,104,12.10%,85,100.00%,
Warwickshire,7,87.50%,1,12.50%,159,74.00%,56,26.00%,16,72.70%,6,27.30%,29,96.70%,1,3.30%,7,87.50%,1,12.50%,114,91.20%,11,8.80%,11,84.60%,2,15.40%,27,81.80%,6,18.20%,53,98.10%,1,1.90%,64,91.40%,6,8.60%,9,75.00%,3,25.00%,276,84.40%,51,15.60%,24,100.00%,
West Mercia,4,80.00%,1,20.00%,543,80.90%,128,19.10%,48,69.60%,21,30.40%,51,92.70%,4,7.30%,16,72.70%,6,27.30%,371,95.90%,16,4.10%,43,79.60%,11,20.40%,81,88.00%,11,12.00%,126,92.00%,11,8.00%,144,85.20%,25,14.80%,49,94.20%,3,5.80%,603,84.90%,107,15.10%,42,100.00%,
West Midlands,18,72.00%,7,28.00%,1737,79.60%,446,20.40%,152,77.20%,45,22.80%,180,85.30%,31,14.70%,78,75.00%,26,25.00%,1308,93.80%,87,6.20%,156,83.90%,30,16.10%,272,90.10%,30,9.90%,692,93.40%,49,6.60%,844,85.90%,138,14.10%,190,83.70%,37,16.30%,902,88.20%,121,11.80%,252,100.00%,
West Yorkshire,8,66.70%,4,33.30%,1431,75.00%,478,25.00%,160,68.70%,73,31.30%,148,89.20%,18,10.80%,54,81.80%,12,18.20%,750,91.60%,69,8.40%,66,81.50%,15,18.50%,221,80.10%,55,19.90%,345,93.00%,26,7.00%,355,88.50%,46,11.50%,76,85.40%,13,14.60%,919,87.40%,132,12.60%,135,100.00%,
Wiltshire,1,50.00%,1,50.00%,306,90.80%,31,9.20%,21,77.80%,6,22.20%,29,85.30%,5,14.70%,8,100.00%,0,0.00%,222,95.30%,11,4.70%,22,81.50%,5,18.50%,64,97.00%,2,3.00%,89,93.70%,6,6.30%,69,88.50%,9,11.50%,16,84.20%,3,15.80%,238,94.80%,13,5.20%,16,100.00%,
National,242,84.00%,46,16.00%,"26,352",78.40%,"7,274",21.60%,"2,468",75.80%,789,24.20%,"2,895",86.40%,456,13.60%,939,81.00%,220,19.00%,"15,189",92.10%,"1,299",7.90%,"2,269",85.90%,372,14.10%,"4,763",86.10%,770,13.90%,"9,921",93.10%,731,6.90%,"8,864",85.00%,"1,564",15.00%,"1,968",87.60%,279,12.40%,"21,106",84.90%,"3,760",15.10%,"2,762",100.00%,
Avon and Somerset,9,100.00%,0,0.00%,737,78.30%,204,21.70%,97,77.60%,28,22.40%,76,93.80%,5,6.20%,15,78.90%,4,21.10%,374,92.60%,30,7.40%,38,82.60%,8,17.40%,128,84.80%,23,15.20%,231,92.00%,20,8.00%,179,76.80%,54,23.20%,25,92.60%,2,7.40%,613,87.10%,91,12.90%,105,100.00%,
Bedfordshire,2,100.00%,0,0.00%,214,81.10%,50,18.90%,7,77.80%,2,22.20%,34,73.90%,12,26.10%,9,81.80%,2,18.20%,112,91.10%,11,8.90%,17,77.30%,5,22.70%,36,83.70%,7,16.30%,78,96.30%,3,3.70%,57,87.70%,8,12.30%,18,90.00%,2,10.00%,196,74.00%,69,26.00%,67,100.00%,
Cambridgeshire,3,100.00%,0,0.00%,316,78.40%,87,21.60%,25,80.60%,6,19.40%,19,76.00%,6,24.00%,15,88.20%,2,11.80%,169,92.30%,14,7.70%,26,100.00%,0,0.00%,45,88.20%,6,11.80%,95,94.10%,6,5.90%,74,86.00%,12,14.00%,27,90.00%,3,10.00%,268,87.60%,38,12.40%,63,100.00%,
Cheshire,4,100.00%,0,0.00%,793,84.30%,148,15.70%,55,77.50%,16,22.50%,59,92.20%,5,7.80%,11,64.70%,6,35.30%,445,95.70%,20,4.30%,47,92.20%,4,7.80%,118,83.70%,23,16.30%,298,97.40%,8,2.60%,302,91.00%,30,9.00%,31,83.80%,6,16.20%,604,87.20%,89,12.80%,60,100.00%,
Cleveland,0,-,0,-,309,77.30%,91,22.80%,15,83.30%,3,16.70%,89,92.70%,7,7.30%,13,100.00%,0,0.00%,591,93.70%,40,6.30%,35,89.70%,4,10.30%,103,88.00%,14,12.00%,138,93.90%,9,6.10%,133,86.40%,21,13.60%,20,74.10%,7,25.90%,234,89.70%,27,10.30%,22,100.00%,
Cumbria,1,100.00%,0,0.00%,339,87.10%,50,12.90%,11,100.00%,0,0.00%,17,100.00%,0,0.00%,2,100.00%,0,0.00%,210,98.60%,3,1.40%,30,85.70%,5,14.30%,70,94.60%,4,5.40%,83,95.40%,4,4.60%,103,92.00%,9,8.00%,14,87.50%,2,12.50%,249,92.60%,20,7.40%,17,100.00%,
Derbyshire,1,50.00%,1,50.00%,489,79.60%,125,20.40%,23,92.00%,2,8.00%,45,83.30%,9,16.70%,11,61.10%,7,38.90%,348,90.90%,35,9.10%,51,91.10%,5,8.90%,127,85.20%,22,14.80%,210,93.80%,14,6.30%,206,86.90%,31,13.10%,41,97.60%,1,2.40%,373,87.40%,54,12.60%,39,100.00%,
Devon and Cornwall,5,83.30%,1,16.70%,521,86.50%,81,13.50%,21,87.50%,3,12.50%,39,86.70%,6,13.30%,11,91.70%,1,8.30%,230,95.80%,10,4.20%,29,87.90%,4,12.10%,100,89.30%,12,10.70%,160,94.70%,9,5.30%,162,87.10%,24,12.90%,22,88.00%,3,12.00%,552,90.30%,59,9.70%,27,100.00%,
Dorset,1,100.00%,0,0.00%,394,84.20%,74,15.80%,27,84.40%,5,15.60%,36,83.70%,7,16.30%,5,62.50%,3,37.50%,170,92.90%,13,7.10%,29,90.60%,3,9.40%,53,88.30%,7,11.70%,116,96.70%,4,3.30%,125,91.90%,11,8.10%,23,95.80%,1,4.20%,394,88.50%,51,11.50%,53,100.00%,
Durham,3,100.00%,0,0.00%,344,87.80%,48,12.20%,16,88.90%,2,11.10%,52,89.70%,6,10.30%,7,63.60%,4,36.40%,252,96.20%,10,3.80%,32,94.10%,2,5.90%,69,87.30%,10,12.70%,42,100.00%,0,0.00%,85,89.50%,10,10.50%,25,83.30%,5,16.70%,288,93.80%,19,6.20%,12,100.00%,
Dyfed Powys,1,100.00%,0,0.00%,238,84.10%,45,15.90%,32,86.50%,5,13.50%,22,84.60%,4,15.40%,5,83.30%,1,16.70%,114,95.00%,6,5.00%,11,91.70%,1,8.30%,43,89.60%,5,10.40%,98,94.20%,6,5.80%,80,92.00%,7,8.00%,11,91.70%,1,8.30%,200,85.10%,35,14.90%,7,100.00%,
Essex,6,85.70%,1,14.30%,712,81.20%,165,18.80%,80,80.80%,19,19.20%,73,86.90%,11,13.10%,23,82.10%,5,17.90%,321,91.70%,29,8.30%,42,93.30%,3,6.70%,123,90.40%,13,9.60%,231,97.50%,6,2.50%,131,85.60%,22,14.40%,32,82.10%,7,17.90%,680,80.70%,163,19.30%,62,100.00%,
Gloucestershire,2,100.00%,0,0.00%,243,80.50%,59,19.50%,4,66.70%,2,33.30%,19,82.60%,4,17.40%,6,66.70%,3,33.30%,116,95.90%,5,4.10%,23,92.00%,2,8.00%,33,73.30%,12,26.70%,67,94.40%,4,5.60%,63,85.10%,11,14.90%,11,91.70%,1,8.30%,159,91.90%,14,8.10%,23,100.00%,
GreaterManchester,9,81.80%,2,18.20%,1214,80.70%,290,19.30%,215,74.70%,73,25.30%,151,95.60%,7,4.40%,83,91.20%,8,8.80%,416,94.50%,24,5.50%,60,88.20%,8,11.80%,210,88.60%,27,11.40%,232,91.30%,22,8.70%,487,87.90%,67,12.10%,83,90.20%,9,9.80%,938,84.70%,170,15.30%,92,100.00%,
Gwent,3,75.00%,1,25.00%,250,78.10%,70,21.90%,19,76.00%,6,24.00%,19,86.40%,3,13.60%,3,100.00%,0,0.00%,147,91.30%,14,8.70%,16,80.00%,4,20.00%,48,87.30%,7,12.70%,103,93.60%,7,6.40%,66,79.50%,17,20.50%,18,90.00%,2,10.00%,204,85.40%,35,14.60%,16,100.00%,
Hampshire,2,50.00%,2,50.00%,792,76.80%,239,23.20%,68,73.90%,24,26.10%,62,93.90%,4,6.10%,13,92.90%,1,7.10%,433,93.30%,31,6.70%,52,88.10%,7,11.90%,157,87.20%,23,12.80%,234,96.30%,9,3.70%,181,83.40%,36,16.60%,47,97.90%,1,2.10%,643,90.90%,64,9.10%,75,100.00%,
Hertfordshire,12,85.70%,2,14.30%,368,80.00%,92,20.00%,13,76.50%,4,23.50%,46,88.50%,6,11.50%,10,76.90%,3,23.10%,324,89.30%,39,10.70%,56,86.20%,9,13.80%,54,88.50%,7,11.50%,144,92.90%,11,7.10%,95,78.50%,26,21.50%,22,88.00%,3,12.00%,347,81.10%,81,18.90%,97,100.00%,
Humberside,6,100.00%,0,0.00%,526,80.80%,125,19.20%,28,93.30%,2,6.70%,76,85.40%,13,14.60%,17,63.00%,10,37.00%,363,92.80%,28,7.20%,27,77.10%,8,22.90%,133,89.30%,16,10.70%,116,92.80%,9,7.20%,201,87.00%,30,13.00%,15,78.90%,4,21.10%,293,90.70%,30,9.30%,34,100.00%,
Kent,13,92.90%,1,7.10%,798,76.70%,242,23.30%,59,77.60%,17,22.40%,83,83.00%,17,17.00%,27,93.10%,2,6.90%,336,88.20%,45,11.80%,87,85.30%,15,14.70%,118,82.50%,25,17.50%,247,95.00%,13,5.00%,191,84.10%,36,15.90%,70,89.70%,8,10.30%,568,82.40%,121,17.60%,109,100.00%,
Lancashire,8,80.00%,2,20.00%,839,80.40%,205,19.60%,44,86.30%,7,13.70%,118,88.70%,15,11.30%,23,92.00%,2,8.00%,548,96.80%,18,3.20%,46,80.70%,11,19.30%,182,86.70%,28,13.30%,194,92.40%,16,7.60%,355,91.70%,32,8.30%,48,75.00%,16,25.00%,666,84.50%,122,15.50%,46,100.00%,
Leicestershire,3,100.00%,0,0.00%,506,77.40%,148,22.60%,62,64.60%,34,35.40%,54,87.10%,8,12.90%,17,100.00%,0,0.00%,260,92.20%,22,7.80%,37,82.20%,8,17.80%,86,81.10%,20,18.90%,98,99.00%,1,1.00%,126,83.40%,25,16.60%,30,93.80%,2,6.30%,412,78.00%,116,22.00%,48,100.00%,
Lincolnshire,3,100.00%,0,0.00%,353,86.10%,57,13.90%,12,85.70%,2,14.30%,34,91.90%,3,8.10%,10,100.00%,0,0.00%,216,90.00%,24,10.00%,14,82.40%,3,17.60%,61,85.90%,10,14.10%,89,95.70%,4,4.30%,121,87.70%,17,12.30%,24,80.00%,6,20.00%,391,77.70%,112,22.30%,34,100.00%,
Merseyside,7,77.80%,2,22.20%,908,82.00%,199,18.00%,72,73.50%,26,26.50%,72,93.50%,5,6.50%,13,86.70%,2,13.30%,494,92.90%,38,7.10%,170,90.40%,18,9.60%,159,90.90%,16,9.10%,649,91.70%,59,8.30%,374,87.60%,53,12.40%,54,84.40%,10,15.60%,805,87.60%,114,12.40%,91,100.00%,
Metropolitan and City,38,82.60%,8,17.40%,3095,68.30%,1435,31.70%,333,73.00%,123,27.00%,463,82.10%,101,17.90%,239,82.40%,51,17.60%,1596,83.10%,324,16.90%,429,82.50%,91,17.50%,497,79.00%,132,21.00%,2216,91.00%,220,9.00%,1161,77.00%,347,23.00%,507,89.60%,59,10.40%,2832,76.60%,865,23.40%,555,100.00%,
Norfolk,3,100.00%,0,0.00%,419,83.00%,86,17.00%,25,80.60%,6,19.40%,31,83.80%,6,16.20%,6,85.70%,1,14.30%,237,94.40%,14,5.60%,28,87.50%,4,12.50%,99,95.20%,5,4.80%,200,96.60%,7,3.40%,281,93.00%,21,7.00%,25,89.30%,3,10.70%,391,93.10%,29,6.90%,30,100.00%,
Northamptonshire,3,100.00%,0,0.00%,351,76.50%,108,23.50%,26,96.30%,1,3.70%,37,77.10%,11,22.90%,10,66.70%,5,33.30%,155,92.30%,13,7.70%,18,90.00%,2,10.00%,49,86.00%,8,14.00%,68,84.00%,13,16.00%,97,89.80%,11,10.20%,39,97.50%,1,2.50%,228,82.30%,49,17.70%,47,100.00%,
Northumbria,7,100.00%,0,0.00%,765,72.00%,297,28.00%,118,74.20%,41,25.80%,101,77.10%,30,22.90%,17,81.00%,4,19.00%,579,93.10%,43,6.90%,49,94.20%,3,5.80%,192,85.00%,34,15.00%,164,90.10%,18,9.90%,397,83.60%,78,16.40%,40,88.90%,5,11.10%,527,84.50%,97,15.50%,41,100.00%,
North Wales,0,-,0,-,430,83.80%,83,16.20%,46,82.10%,10,17.90%,24,92.30%,2,7.70%,4,100.00%,0,0.00%,271,95.80%,12,4.20%,25,92.60%,2,7.40%,87,89.70%,10,10.30%,114,93.40%,8,6.60%,155,93.40%,11,6.60%,42,85.70%,7,14.30%,472,92.70%,37,7.30%,14,100.00%,
